id,src,fu,t,loc,p,s,f,fo,sd,z,doc,v,di,nota,lat,lng,u
IS1,IS,InnovaSierras,"3Ha – Ruta 34, Niña Paula",Mina Clavero,,30000,,,O,ZEU2,Escritura,Luz,FALSE,"Llano, parquizado, pirca de piedras. A 1km del Baño de Los Dioses.",-31.741.416,-64.945.266,https://www.innovasierras.com/p/3722971-Terreno-en-Venta-en-Mina-Clavero-
IS2,IS,InnovaSierras,508–550m² – Calle Buenos Aires (30m del río),Mina Clavero,22000,529,16,33,S,Z2B,A confirmar,A consultar,FALSE,Zona 2B. A 30m del Río Mina Clavero. Plana con suave elevación al fondo.,-31.723.192,-64.998.234,https://www.innovasierras.com/p/7847329-Terreno-en-Venta-en-Mina-Clavero-Lotes-en-Venta-en-Mina-Clavero-a-30-mts-del-Río-|-Excelente-Ubicación
IS3,IS,InnovaSierras,"1.070m² – Boca del Río, Las Tapias",Las Tapias,10000,1070,25,43,O,GEN,A confirmar,A consultar,FALSE,A 300m del lago. Financiación disponible.,-319.144,-651.129,https://www.innovasierras.com/p/2760684-Terreno-en-Venta-en-Villa-De-Las-Rosas-FINANCIACION-Ultimo-Lote-de-1000-m2-a-300-mts-del-Lago-Boca-del-Río-|-Las-Tapias-|-Traslasierra
IS4,IS,InnovaSierras,1.478m² – Las Tapias,Las Tapias,10000,1478,30,49,O,GEN,Escritura,A consultar,FALSE,Escritura inmediata. Planos incluidos.,-31.96,-65.097,https://www.innovasierras.com/p/7847952-Terreno-en-Venta-en-Las-Tapias-Gran-Lote-en-Venta-en-Las-Tapias-|-1.478-m²-Planos-|-Escritura-Inmediata
IS5,IS,InnovaSierras,"1.000m² – La Aguadita, VLR",Villa de Las Rosas,10000,1000,25,40,O,VLR2,A confirmar,Servicios,FALSE,Excelente entorno.,-31.948,-65.05,https://www.innovasierras.com/p/6904548-Terreno-en-Venta-en-Villa-De-Las-Rosas-Terreno-de-1000-m2-en-La-Aguadita-Villa-de-Las-Rosas-|-Servicios-|-Excelente-entorno
IS6,IS,InnovaSierras,760m² – entre VLR y San Javier,Villa de Las Rosas,11000,760,22,35,O,VLR1,A confirmar,A consultar,FALSE,Último lote plano. Oportunidad.,-31.952,-65.056,https://www.innovasierras.com/p/4950382-Terreno-en-Venta-en-Villa-De-Las-Rosas-Último-lote-plano-entre-Villa-de-Las-Rosas-y-San-Javier-|-Oportunidad
IS7,IS,InnovaSierras,"1.000m² – Dique Nivelador, Las Tapias",Las Tapias,16000,1000,25,40,O,GEN,Escritura,"Gas, fibra, luz, agua",FALSE,Gas natural + fibra óptica.,-31.961,-65.098,https://www.innovasierras.com/p/4338150-Terreno-en-Venta-en-Villa-De-Las-Rosas-Venta-Terreno-1000-m²-en-Las-Tapias-|-Camino-al-Dique-Nivelador-|-Escritura-+-Servicios-y-Fibra
IS8,IS,InnovaSierras,"848m² – Boca del Río, Las Tapias",Las Tapias,18000,848,23,37,O,GEN,Escritura,"Gas, fibra, luz, agua",FALSE,Único lote con gas natural + fibra óptica.,-319.144,-651.125,https://www.innovasierras.com/p/4888551-Terreno-en-Venta-en-Las-Tapias-Último-lote-con-gas-natural-y-fibra-óptica-|-Boca-del-Río-(Las-Tapias)-|-Escritura
IS9,IS,InnovaSierras,1.600m² – Los Hornillos,Los Hornillos,20000,1600,30,53,O,GEN,Escritura,"Luz, agua",FALSE,Vista abierta al lago y sierras.,-31.903,-64.981,https://www.innovasierras.com/p/7956910-Terreno-en-Venta-en-Los-Hornillos-Terreno-de-1.600-m²-con-escritura-y-servicios-|-Vista-abierta-al-lago-y-sierras-|-Entorno-natural-en-Los-Hornillos
IS10,IS,InnovaSierras,"883m² – Los Pozos, VLR",Villa de Las Rosas,22000,883,23,38,O,VLR2,A confirmar,A consultar,FALSE,Sobre Ruta 14. Vista + proyección comercial.,-31.949.181,-65.053.598,https://www.innovasierras.com/p/7449004-Terreno-en-Venta-en-Villa-De-Las-Rosas-OPORTUNIDAD-Último-Terreno-sobre-Ruta-14-|-Los-Pozos-Villa-de-Las-Rosas-|-Impresionante-Vista-+-Proyección-Comercial
IS11,IS,InnovaSierras,"3.000m² – B° Solares del Champaquí, VLR",Villa de Las Rosas,23000,3000,40,75,O,VLR4,Escritura,"Luz, agua",FALSE,Escritura y servicios.,-31.95,-65.054,"https://www.innovasierras.com/p/7112627-Terreno-en-Venta-en-Villa-De-Las-Rosas-Terreno-en-Venta-de-3000-m2-en-B°-Solares-del-Champaquí,-Villa-de-Las-Rosas-|-ESCRITURA-Y-SERVICIOS"
IS12,IS,InnovaSierras,2.400m² – Villa de Las Rosas,Villa de Las Rosas,25000,2400,37,65,O,VLR3,Escritura,A consultar,FALSE,Vista increíble a las sierras.,-31.951,-65.055,https://www.innovasierras.com/p/6525265-Terreno-en-Venta-en-Villa-De-Las-Rosas-Venta-Hermoso-Lote-de-2400-m2-con-vista-Increíble-a-las-Sierras-|-Escritura-y-Servicios
IS13,IS,InnovaSierras,3.000m² – Las Rabonas,Las Rabonas,28000,3000,40,75,O,GEN,A confirmar,A consultar,FALSE,Vista soñada al lago y sierras.,-31.871,-64.98,https://www.innovasierras.com/p/7206952-Terreno-en-Venta-en-Las-Rabonas-En-venta-espectacular-lote-de-3000-m²-con-vistas-soñadas-al-lago-y-a-las-sierras.-Las-Rabonas
IS14,IS,InnovaSierras,"9.000m² – Las Calles, Nono",Las Calles,40000,9000,60,150,O,GEN,A confirmar,A consultar,FALSE,Vista amplia y abierta.,-31.824.121,-64.971.834,"https://www.innovasierras.com/p/7692451-Terreno-en-Venta-en-Nono-Venta-Terrenos-de-9mil-m2-y-1,5-hectáreas-en-Las-Calles-|-Traslasierra-|-Vista-Amplia-y-Abierta"
IS15,IS,InnovaSierras,2.560m² – Chacras de San Javier,Las Calles,47000,2560,36,71,O,GEN,A confirmar,A consultar,FALSE,En altura. Cercado y parquizado.,-31.824,-64.971,https://www.innovasierras.com/p/7535656-Terreno-en-Venta-en-San-Javier-B°-Chacras-de-San-Javier-|-San-Javier
IS16,IS,InnovaSierras,8.772m² – Los Hornillos (sobre ruta),Los Hornillos,58000,8772,60,146,O,GEN,A confirmar,A consultar,FALSE,Sobre ruta principal.,-31.904,-64.983,"https://www.innovasierras.com/p/6961898-Terreno-en-Venta-en-Los-Hornillos-Excelente-terreno-en-Los-Hornillos-sobre-ruta,-8.772-m2"
IS17,IS,InnovaSierras,7Ha – Las Tapias,Las Tapias,98000,72000,150,480,O,GEN,A confirmar,A consultar,FALSE,72.000m².,-31.98,-65.094,"https://www.innovasierras.com/p/7066089-Terreno-en-Venta-en-Las-Tapias-Hermoso-Terreno-de-7-Hectáreas-en-Venta,-Las-Tapias,-Traslasierra"
IS18,IS,InnovaSierras,"17,5Ha – Quebrada de Los Pozos, VLR",Villa de Las Rosas,175000,175000,250,700,O,VLR5,A confirmar,A consultar,FALSE,Zona 4. Vista a las sierras.,-31.923,-65.04,"https://www.innovasierras.com/p/7752411-Terreno-en-Venta-en-Villa-De-Las-Rosas-Terreno-de-17,5-hectáreas-en-venta-|-Zona-4-|-Vista-a-las-Sierras-|-Quebrada-de-Los-Pozos–-Villa-de-Las-Rosas"
R1,R,Rodríguez Inmobiliaria,~250m² – Pampa de Achala 1855,Mina Clavero,15000,250,10,25,S,ZEU,A confirmar,A consultar,FALSE,10 cuadras de la plaza. Zona extra-urbana norte.,-31.720.061,-65.004.479,https://rodriguezinmuebles.com.ar/propiedades/lote-baldio-a-10-cuadras-de-la-plaza-en-mina-clavero-oportunidad/
R2,R,Rodríguez Inmobiliaria,"322m² – Barrio San Sebastián, Costanera",Mina Clavero,22000,322,13.9,27,E,Z3,A consultar,A consultar,TRUE,"Lote irregular (trapezoidal). 13.9m frente, laterales 22.31m y 27.21m, fondo 13m. A 50m del Río Los Sauces.",-31.745.233,-65.011.278,https://rodriguezinmuebles.com.ar/propiedades/lote-en-b-san-sebastian-a-50-mt-del-rio-los-sauces-mina-clavero/
R3,R,Rodríguez Inmobiliaria,"360m² – Los Tilos 1945, Barrio Villanueva",Mina Clavero,34000,360,12,30,S,Z2B,A consultar,"Luz, agua",TRUE,12m frente × 30m fondo. Pavimento. Barrio residencial. A 300m del centro.,-3.172.438,-65.009.236,https://rodriguezinmuebles.com.ar/propiedades/terreno-baldio-zona-residencial-a-pasos-del-centro-de-mina-clavero/
